Category,ILM_ID,Field_ID,Internal Parameter,Bytes,Description,Note
,MSG_ID_EM_ERRC_MOB_MEAS_INTRARAT_INFO_IND,LTE_INTER_NEIGHBOR_Freq_NUM,inter_info.freq_num,1,unsigned,0
,MSG_ID_EM_ERRC_MOB_MEAS_INTRARAT_INFO_IND,LTE_INTER_NEIGHBOR_CELL_NUM,inter_info.inter_freq[4].cell_num,1,unsigned,0
,MSG_ID_EM_ERRC_MOB_MEAS_INTRARAT_INFO_IND,LTE_INTER_NEIGHBOR_EARFCN,inter_info.inter_freq[4].earfcn,2,unsigned,0
,MSG_ID_EM_ERRC_MOB_MEAS_INTRARAT_INFO_IND,LTE_INTER_NEIGHBOR_PCI,inter_info.inter_freq[4].inter_cell[6].pci,2,unsigned,0
,MSG_ID_EM_ERRC_MOB_MEAS_INTRARAT_INFO_IND,LTE_INTER_NEIGHBOR_RSRP,inter_info.inter_freq[4].inter_cell[6].rsrp,4,signed,0
,MSG_ID_EM_ERRC_MOB_MEAS_INTRARAT_INFO_IND,LTE_INTER_NEIGHBOR_RSRQ,inter_info.inter_freq[4].inter_cell[6].rsrq,4,signed,0
,MSG_ID_EM_ERRC_MOB_MEAS_INTERRAT_UTRAN_INFO_IND,LTE_3GNEIGHBOR_FREQ_NUM,freq_num,1,unsigned,0
,MSG_ID_EM_ERRC_MOB_MEAS_INTERRAT_UTRAN_INFO_IND,LTE_3GNEIGHBOR_CELL_NUM,inter_freq[16].ucell_num,1,unsigned,0
,MSG_ID_EM_ERRC_MOB_MEAS_INTERRAT_UTRAN_INFO_IND,LTE_3GNEIGHBOR_UARFCN,inter_freq[16].uarfcn,2,unsigned,0
,MSG_ID_EM_ERRC_MOB_MEAS_INTERRAT_UTRAN_INFO_IND,LTE_3GNEIGHBOR_CPI,inter_freq[16].ucell[6].psc,2,unsigned,0
,MSG_ID_EM_ERRC_MOB_MEAS_INTERRAT_UTRAN_INFO_IND,LTE_3GNEIGHBOR_RSCP,inter_freq[16].ucell[6].rscp,4,signed,0
,MSG_ID_EM_ERRC_MOB_MEAS_INTERRAT_GERAN_INFO_IND,LTE_2GNEIGHBOR_NUM,total_gcell_num,1,unsigned,0
,MSG_ID_EM_ERRC_MOB_MEAS_INTERRAT_GERAN_INFO_IND,LTE_2GNEIGHBOR_ARFCN,gcell[6].arfcn,2,unsigned,0
,MSG_ID_EM_ERRC_MOB_MEAS_INTERRAT_GERAN_INFO_IND,LTE_2GNEIGHBOR_BSIC,gcell[6].bsic,1,unsigned,0
,MSG_ID_EM_ERRC_MOB_MEAS_INTERRAT_GERAN_INFO_IND,LTE_2GNEIGHBOR_RXLV,gcell[6].rssi,4,signed,0

,MSG_ID_EM_ERRC_STATE_IND,LTE_RRC_STATE,errc_sts,1,enum,0
,,,,,,0
,MSG_ID_EM_L4C_RAT_CHANGE_IND,SOURCE_RAT,source_rat,1,unsigned,0
,MSG_ID_EM_L4C_RAT_CHANGE_IND,TARGET_RAT,target_rat,1,unsigned,0
,MSG_ID_EM_L4C_RAT_CHANGE_IND,INTERRAT_TYPE,irat_type,1,unsigned,0
,MSG_ID_EM_NWSEL_PLMN_LOSS_INFO_IND,PLMN_LOSS_RAT,loss_rat,1,unsigned,0
,MSG_ID_EM_NWSEL_PLMN_SEARCH_CNF_INFO_IND,PLMN_SEARCH_RAT,search_rat,1,unsigned,0
,MSG_ID_EM_NWSEL_PLMN_SEARCH_CNF_INFO_IND,PLMN_SEARCH_RESULT,result,1,unsigned,0
,MSG_ID_EM_NWSEL_PLMN_SEARCH_CNF_INFO_IND,PLMN_SEARCH_MODE,plmn_sel_mode,1,unsigned,0
,,,,,,0
,,,,,,0
,MSG_ID_EM_IMC_IPSEC_INFO_FLUSH_IND,FLUSH_ALL_POLICY_INDEX,ref_count,1,unsigned,0
,MSG_ID_EM_IMC_IPSEC_INFO_ADD_IND,SA_SOURCE_IP,ipsec_info[4].src_ip[64],1,unsigned,0
,MSG_ID_EM_IMC_IPSEC_INFO_ADD_IND,SA_DEST_IP,ipsec_info[4].dst_ip[64],1,unsigned,0
,MSG_ID_EM_IMC_IPSEC_INFO_ADD_IND,SA_SOURCE_PORT,ipsec_info[4].src_port[16],1,unsigned,0
,MSG_ID_EM_IMC_IPSEC_INFO_ADD_IND,SA_DEST_PORT,ipsec_info[4].dst_port[16],1,unsigned,0
,MSG_ID_EM_IMC_IPSEC_INFO_ADD_IND,SA_SPI,ipsec_info[4].spi[32],1,unsigned,0
,MSG_ID_EM_IMC_IPSEC_INFO_ADD_IND,SA_DIRECTION,ipsec_info[4].dir,1,unsigned,0
,MSG_ID_EM_IMC_IPSEC_INFO_ADD_IND,IPSEC POLICY_INDEX,index,1,unsigned,0
,MSG_ID_EM_IMC_IPSEC_INFO_ADD_IND,TRANSPORT,transport,1,unsigned,0
,MSG_ID_EM_IMC_IPSEC_INFO_ADD_IND,MODE,mode,1,unsigned,0
,MSG_ID_EM_IMC_IPSEC_INFO_ADD_IND,PROTOCOL,protocol,1,unsigned,0
,MSG_ID_EM_IMC_IPSEC_INFO_ADD_IND,ENCRY_ALGO,encry_algo,1,unsigned,0
,MSG_ID_EM_IMC_IPSEC_INFO_ADD_IND,INTEGRITY_ALGO,integrity_algo,1,unsigned,0
,MSG_ID_EM_IMC_IPSEC_INFO_ADD_IND,CIPHER_KEY,ck[256],1,unsigned,0
,MSG_ID_EM_IMC_IPSEC_INFO_ADD_IND,INTEGRITY_KEY,ik[256],1,unsigned,0
,MSG_ID_EM_IMC_IPSEC_INFO_DELETE_IND,REMOVED_POLICY_INDEX,index,1,unsigned,0
